# schemix benchmark results — v0.3.0 with blob type-check fast path
#
# Commit:  90c1c42+ (branch feat/api-surface-p0, uncommitted perf changes)
# Date:    2026-08-30
# Command: go test -run='^$' -bench=. -benchmem -count=6 .
#
# Same flags the CI benchmark gate uses, so this file can be fed straight to
# benchstat against a CI run:
#
#     benchstat bench_v0.3.0.txt bench_head.txt
#
# Six samples per benchmark. Read allocations rather than timings when judging a
# change: on a laptop the ns/op figures move by double digits between runs, while
# the allocation counts are deterministic.
#
# Key changes from the previous snapshot:
#   - checkBlobResultType uses a Go type switch for scalar @blob results
#     instead of CUE Encode+Unify+Validate (Process_Valid: 81 → 17 allocs)
#   - path.go helpers use strings.IndexByte instead of strings.Split
#
# Numbers are not comparable to the pre-optimisation snapshot that carried the
# same filename. The allocation counts dropped by 64 on the hot path.

goos: darwin
goarch: arm64
pkg: github.com/mredencom/schemix
cpu: Apple M4
BenchmarkLocalize/simple_template-10                   	23975224	        50.00 ns/op	      48 B/op	       1 allocs/op
BenchmarkLocalize/simple_template-10                   	23948431	        50.06 ns/op	      48 B/op	       1 allocs/op
BenchmarkLocalize/simple_template-10                   	24021838	        50.07 ns/op	      48 B/op	       1 allocs/op
BenchmarkLocalize/simple_template-10                   	23850121	        49.98 ns/op	      48 B/op	       1 allocs/op
BenchmarkLocalize/enum_with_suggestion-10              	 6009550	       200.0 ns/op	     216 B/op	       6 allocs/op
BenchmarkLocalize/enum_with_suggestion-10              	 6011344	       199.5 ns/op	     216 B/op	       6 allocs/op
BenchmarkLocalize/enum_with_suggestion-10              	 6017217	       200.0 ns/op	     216 B/op	       6 allocs/op
BenchmarkLocalize/enum_with_suggestion-10              	 6006139	       197.3 ns/op	     216 B/op	       6 allocs/op
BenchmarkLocalize/enum_with_suggestion-10              	 6094526	       197.6 ns/op	     216 B/op	       6 allocs/op
BenchmarkLocalize/enum_with_suggestion-10              	 6020902	       199.4 ns/op	     216 B/op	       6 allocs/op
BenchmarkLocalize/template_falls_back-10               	12982984	        91.50 ns/op	     112 B/op	       2 allocs/op
BenchmarkLocalize/template_falls_back-10               	13077806	        91.64 ns/op	     112 B/op	       2 allocs/op
BenchmarkLocalize/template_falls_back-10               	12967364	        92.26 ns/op	     112 B/op	       2 allocs/op
BenchmarkLocalize/template_falls_back-10               	13094408	        91.95 ns/op	     112 B/op	       2 allocs/op
BenchmarkLocalize/template_falls_back-10               	13050321	        92.16 ns/op	     112 B/op	       2 allocs/op
BenchmarkLocalize/template_falls_back-10               	12953816	        91.74 ns/op	     112 B/op	       2 allocs/op
BenchmarkLocalize/chained_catalog_with_label-10        	12012192	       100.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkLocalize/chained_catalog_with_label-10        	12001164	       100.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkLocalize/chained_catalog_with_label-10        	12041019	        99.72 ns/op	      64 B/op	       2 allocs/op
BenchmarkLocalize/chained_catalog_with_label-10        	12056756	        99.69 ns/op	      64 B/op	       2 allocs/op
BenchmarkLocalize/chained_catalog_with_label-10        	11945805	       100.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkLocalize/chained_catalog_with_label-10        	12002240	       100.4 ns/op	      64 B/op	       2 allocs/op
PASS
ok  	github.com/mredencom/schemix	233.017s
